,cand_nm,contbr_zip,contbr_employer,contbr_occupation,contb_receipt_amt,occ_cat,converted_date,payment_yr
191,"Trump, Donald J.",20037,RETIRED,RETIRED,1750.0,retired,201903,2019
192,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
193,"Sanders, Bernard",20002,US SECURITIES AND EXCHANGE COMMISSION,ATTORNEY,100.0,law,201902,2019
199,"Sanders, Bernard",20008,SELF-EMPLOYED,LAWYER,100.0,law,201903,2019
202,"Sanders, Bernard",20009,WORLD BANK,LAWYER,500.0,law,201903,2019
204,"Trump, Donald J.",20015,CHARTWELL STRATEGY GROUP,EXECUTIVE,2600.0,leadership,201901,2019
205,"Trump, Donald J.",20015,CHARTWELL STRATEGY GROUP,EXECUTIVE,2800.0,leadership,201901,2019
206,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,1.0,it,201903,2019
211,"Sanders, Bernard",20001,MADE BY WE,WEB DEVELOPER / PARTNER,50.0,it,201903,2019
213,"Trump, Donald J.",20002,RETIRED,RETIRED,375.0,retired,201903,2019
219,"Sanders, Bernard",20003,NAACP LEGAL DEFENSE & EDUCATIONAL FUND,ATTORNEY,27.0,law,201903,2019
220,"Sanders, Bernard",20016,XX,ATTORNEY,15.0,law,201903,2019
225,"Sanders, Bernard",20010,NOT EMPLOYED,NOT EMPLOYED,102.0,not employed or unknown,201903,2019
231,"Sanders, Bernard",20003,NAACP LEGAL DEFENSE & EDUCATIONAL FUND,ATTORNEY,5.0,law,201903,2019
232,"Sanders, Bernard",20024,NOT EMPLOYED,NOT EMPLOYED,120.0,not employed or unknown,201903,2019
234,"Sanders, Bernard",20003,AARP,MANAGER POLITICAL INTELLIGENCE,30.86,business/gov,201902,2019
235,"Sanders, Bernard",20009,SELF,LAWYER,500.0,law,201902,2019
238,"Sanders, Bernard",20010,SAFE INC,ADVOCATE,27.0,other,201903,2019
246,"Sanders, Bernard",20003,HHS,CIVIL SERVICE,250.0,other,201902,2019
249,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201903,2019
256,"Sanders, Bernard",20002,US SECURITIES AND EXCHANGE COMMISSION,ATTORNEY,100.0,law,201902,2019
262,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201902,2019
268,"Sanders, Bernard",20011,AFL-CIO,GOVERNANCE COORDINATOR,500.0,other,201902,2019
273,"Sanders, Bernard",20009,NATIONAL SYMPHONY ORCHESTRA,MUSICIAN,500.0,artist/comm,201903,2019
282,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
283,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,5.0,it,201903,2019
286,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
289,"Sanders, Bernard",20001,GARTNER,ANALYST,250.0,business/gov,201902,2019
295,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
297,"Sanders, Bernard",20007,SELF/LEFTACTION,CONSULTANT,250.0,business/gov,201902,2019
299,"Sanders, Bernard",20005,US TREASURY,SOFTWARE DEVELOPER,100.0,it,201903,2019
302,"Sanders, Bernard",20005,PAUL HASTINGS LLP,ATTORNEY,50.0,law,201902,2019
303,"Sanders, Bernard",20007,NORML,EXECUTIVE DIRECTOR,3.0,leadership,201903,2019
310,"Sanders, Bernard",20037,THE ADVISORY BOARD COMPANY,BUSINESS DEVELOPMENT,100.0,other,201903,2019
312,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
313,"Sanders, Bernard",20037,THE ADVISORY BOARD COMPANY,BUSINESS DEVELOPMENT,27.0,other,201903,2019
320,"Sanders, Bernard",20015,O'DONOGHUE & O'DONOGHUE,ATTORNEY,50.0,law,201903,2019
326,"Trump, Donald J.",20006,RETIRED,RETIRED,2800.0,retired,201903,2019
327,"Sanders, Bernard",20006,SELF,LAWYER,250.0,law,201903,2019
330,"Sanders, Bernard",20012,DEPT. OF THE INTERIOR,FEDERAL ANALYST,250.0,business/gov,201903,2019
335,"Sanders, Bernard",20003,UNIVERSITY OF MARYLAND,POSTDOCTORAL RESEARCHER,27.0,science,201903,2019
337,"Sanders, Bernard",20001,GSA,ADVISOR,23.86,other,201903,2019
350,"Sanders, Bernard",20012,US NAVY,PHYSICIAN,27.0,healthcare,201903,2019
354,"Sanders, Bernard",20016,REVMETRIX INC.,ENGINEER,50.0,it,201903,2019
363,"Sanders, Bernard",20037,NOT EMPLOYED,NOT EMPLOYED,3.0,not employed or unknown,201903,2019
364,"Sanders, Bernard",20003,UNIVERSITY OF MARYLAND,POSTDOCTORAL RESEARCHER,20.0,science,201903,2019
367,"Sanders, Bernard",20015,O'DONOGHUE & O'DONOGHUE,ATTORNEY,3.0,law,201903,2019
375,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
384,"Sanders, Bernard",20003,SELF EMPLOYED EMPLOYED,INTERPRETER/TRANSLATOR,100.0,other,201903,2019
403,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,1.0,it,201903,2019
409,"Sanders, Bernard",20003,STATE OF ILLINOIS,TEACHER,100.0,education,201903,2019
414,"Sanders, Bernard",20003,NATIONAL RENEWABLE ENERGY LABORATORY,RESEARCHER,27.0,science,201902,2019
415,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,1.0,it,201903,2019
423,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,27.0,it,201903,2019
425,"Sanders, Bernard",20007,HOGAN LOVELLS US LLC,ATTORNEY,100.0,law,201903,2019
426,"Sanders, Bernard",20011,POLITICS AND PROSE,BOOKSELLER,250.0,other,201902,2019
427,"Sanders, Bernard",20015,O'DONOGHUE & O'DONOGHUE,ATTORNEY,35.0,law,201903,2019
438,"Sanders, Bernard",20552,BCFP,ECONOMIST,25.0,science,201903,2019
439,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,100.0,business/gov,201902,2019
453,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201903,2019
454,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201903,2019
455,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
472,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201902,2019
481,"Sanders, Bernard",20001,GSA,ADVISOR,3.0,other,201903,2019
483,"Sanders, Bernard",20212,U.S. DEPARTMENT OF LABOR,ECONOMIST,3.0,science,201903,2019
489,"Sanders, Bernard",20015,ARAB AMERICAN INSTITUTE,PRESIDENT,500.0,leadership,201902,2019
490,"Sanders, Bernard",20007,NORML,EXECUTIVE DIRECTOR,15.0,leadership,201903,2019
491,"Sanders, Bernard",20010,U.S. DEPARTMENT OF LABOR,INVESTIGATOR,95.0,law,201903,2019
496,"Sanders, Bernard",20002,US SECURITIES AND EXCHANGE COMMISSION,ATTORNEY,100.0,law,201903,2019
511,"Sanders, Bernard",20003,NAACP LEGAL DEFENSE & EDUCATIONAL FUND,ATTORNEY,75.0,law,201902,2019
517,"Sanders, Bernard",20009,NATIONAL ASSOCIATION OF LETTER CARRIER,STAFF ASSISTANT FOR ECONOMIC ANALYSIS,27.0,science,201903,2019
532,"Trump, Donald J.",20009,FAB,MG DIR,378.75,other,201901,2019
538,"Sanders, Bernard",20003,UNIVERSITY OF MARYLAND,POSTDOCTORAL RESEARCHER,10.0,science,201903,2019
545,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,5.0,it,201903,2019
559,"Sanders, Bernard",20009,LEIDOS,BIOMEDICAL LIFE SCIENTIST,27.0,science,201903,2019
595,"Sanders, Bernard",20013,NOT EMPLOYED,NOT EMPLOYED,16.66,not employed or unknown,201903,2019
607,"Sanders, Bernard",20013,NOT EMPLOYED,NOT EMPLOYED,3.0,not employed or unknown,201903,2019
609,"Sanders, Bernard",20003,CADCA,INSTRUCTIONAL DESIGNER,100.0,artist/comm,201903,2019
611,"Sanders, Bernard",20001,GSA,ADVISOR,200.0,other,201902,2019
614,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201903,2019
615,"Sanders, Bernard",20001,GSA,ADVISOR,10.0,other,201903,2019
616,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201903,2019
618,"Sanders, Bernard",20008,SELF-EMPLOYED,LAWYER,100.0,law,201903,2019
622,"Sanders, Bernard",20003,AARP,MANAGER POLITICAL INTELLIGENCE,69.99,business/gov,201903,2019
627,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
628,"Trump, Donald J.",20008,BLACKWOOD DC,CONTRACTOR,2800.0,other,201902,2019
629,"Buttigieg, Pete",20001,WILKINSON WALSH + ESKOVITZ,ATTORNEY,250.0,law,201903,2019
630,"Buttigieg, Pete",20001,NALP,LAWYER,250.0,law,201903,2019
631,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201902,2019
633,"Buttigieg, Pete",20009,EXELON,EXECUTICE,250.0,other,201903,2019
634,"Buttigieg, Pete",20003,U.S. EPA,PROGRAM ANALYST,250.0,business/gov,201903,2019
635,"Buttigieg, Pete",20009,ORRICK,ATTORNEY,500.0,law,201903,2019
636,"Buttigieg, Pete",20009,ORRICK,ATTORNEY,33.29,law,201903,2019
637,"Buttigieg, Pete",20009,NOT EMPLOYED,NOT EMPLOYED,250.0,not employed or unknown,201902,2019
638,"Buttigieg, Pete",20009,NOT EMPLOYED,NOT EMPLOYED,250.0,not employed or unknown,201903,2019
639,"Buttigieg, Pete",20009,NOT EMPLOYED,NOT EMPLOYED,250.0,not employed or unknown,201903,2019
640,"Buttigieg, Pete",20008,SENATOR DURBIN,NATIONAL SECURITY ADVISOR,400.0,other,201903,2019
641,"Buttigieg, Pete",20003,THE MAYERSON FIRM PLLC,LAWYER,250.0,law,201901,2019
642,"Buttigieg, Pete",20003,THE MAYERSON FIRM PLLC,LAWYER,100.0,law,201902,2019
643,"Buttigieg, Pete",20003,THE MAYERSON FIRM PLLC,LAWYER,100.0,law,201903,2019
644,"Buttigieg, Pete",20003,THE MAYERSON FIRM PLLC,LAWYER,100.0,law,201903,2019
645,"Buttigieg, Pete",20005,BLANDFORD GROUP,PUBLIC AFFAIRS CONSULTANT,1500.0,business/gov,201903,2019
647,"Buttigieg, Pete",20015,CGS FINANCIAL SERVICES,ATTORNEY,250.0,law,201903,2019
648,"Buttigieg, Pete",20002,ABBVIE,POLICY ANALYST,100.0,business/gov,201903,2019
649,"Buttigieg, Pete",20002,ABBVIE,POLICY ANALYST,250.0,business/gov,201903,2019
650,"Buttigieg, Pete",20002,ABBVIE,POLICY ANALYST,25.0,business/gov,201903,2019
651,"Buttigieg, Pete",20010,COVINGTON AND BURLING,ATTORNEY,200.0,law,201903,2019
652,"Buttigieg, Pete",20009,SELF-EMPLOYED,MUSICIAN,250.0,artist/comm,201903,2019
654,"Sanders, Bernard",20010,MONTAGE INC,PROJECT MANAGER,3.0,business/gov,201903,2019
655,"Buttigieg, Pete",20016,CALVERT IMPACT CAPITAL,COMMUNITY INVESTOR,200.0,other,201903,2019
656,"Buttigieg, Pete",20010,SPLUNK INC.,SOFTWARE CONSULTING,200.0,it,201903,2019
657,"Buttigieg, Pete",20015,CONN MACIEL CAREY LLP,ATTORNEY,500.0,law,201903,2019
658,"Buttigieg, Pete",20007,THE DUFOUR COLLABORATIVE,PRESIDENT & CREATIVE DIRECTOR,250.0,leadership,201903,2019
659,"Buttigieg, Pete",20008,RETIRED,RETIRED,500.0,retired,201903,2019
660,"Buttigieg, Pete",20008,RETIRED,RETIRED,10.0,retired,201903,2019
661,"Buttigieg, Pete",20003,HARRIS WILTSHIRE & GRANNIS LLP,LAWYER,250.0,law,201903,2019
662,"Buttigieg, Pete",20009,HAVAS MEDIA GROUP / MOTIVE,DIGITAL MARKETING &ADVERTISING,250.0,other,201903,2019
663,"Buttigieg, Pete",20009,HAVAS MEDIA GROUP / MOTIVE,DIGITAL MARKETING &ADVERTISING,25.0,other,201903,2019
664,"Sanders, Bernard",20010,SAFE INC,ADVOCATE,50.0,other,201903,2019
665,"Buttigieg, Pete",20003,MILLER & CHEVALIER,LAWYER,500.0,law,201903,2019
667,"Buttigieg, Pete",20016,USAID,HUMANITARIAN ADVISOR,100.0,other,201903,2019
668,"Buttigieg, Pete",20016,USAID,HUMANITARIAN ADVISOR,25.0,other,201903,2019
669,"Buttigieg, Pete",20007,AMAZON,SVP,250.0,other,201903,2019
670,"Buttigieg, Pete",20009,BOUNDARY STONE PARTNERS,PARTNER,500.0,leadership,201902,2019
671,"Buttigieg, Pete",20009,BOUNDARY STONE PARTNERS,PARTNER,250.0,leadership,201903,2019
672,"Buttigieg, Pete",20002,EXELON,ATTORNEY,250.0,law,201903,2019
673,"Buttigieg, Pete",20009,COVINGTON & BURLING LLP,ATTORNEY,2800.0,law,201903,2019
674,"Buttigieg, Pete",20008,SELF-EMPLOYED,CONSULTANT,250.0,business/gov,201903,2019
675,"Buttigieg, Pete",20008,SELF-EMPLOYED,CONSULTANT,500.0,business/gov,201903,2019
676,"Buttigieg, Pete",20007,NOT EMPLOYED,NOT EMPLOYED,2700.0,not employed or unknown,201903,2019
677,"Buttigieg, Pete",20015,PROCON,DIRECTOR OF MARKETING,250.0,leadership,201903,2019
678,"Buttigieg, Pete",20009,NOT EMPLOYED,NOT EMPLOYED,500.0,not employed or unknown,201903,2019
679,"Buttigieg, Pete",20015,NOT EMPLOYED,STUDENT,50.0,education,201903,2019
680,"Buttigieg, Pete",20009,AMERICAN ASSOC FOR DENTAL RESEARCH,EXECUTVE,500.0,other,201901,2019
681,"Buttigieg, Pete",20016,NATIONAL BUILDING MUSEUM,ARTS ADMINISTRATOR,50.0,other,201903,2019
682,"Buttigieg, Pete",20003,NOT EMPLOYED,NOT EMPLOYED,1000.0,not employed or unknown,201903,2019
683,"Buttigieg, Pete",20008,SELF-EMPLOYED,ENGINEER,250.0,it,201903,2019
684,"Buttigieg, Pete",20009,POTOMAC LAW GROUP PLLC,ATTORNEY,250.0,law,201903,2019
685,"Buttigieg, Pete",20009,POTOMAC LAW GROUP PLLC,ATTORNEY,250.0,law,201903,2019
686,"Buttigieg, Pete",20011,NEW AMERICA,SENIOR ADVISOR,400.0,leadership,201903,2019
687,"Buttigieg, Pete",20024,FEDERAL RESERVE BOARD,ATTORNEY,100.0,law,201903,2019
688,"Buttigieg, Pete",20024,FEDERAL RESERVE BOARD,ATTORNEY,25.0,law,201903,2019
689,"Buttigieg, Pete",20008,NOT EMPLOYED,NOT EMPLOYED,500.0,not employed or unknown,201903,2019
690,"Buttigieg, Pete",20009,EBY VENTURES,PHILANTHROPIST,250.0,other,201902,2019
691,"Buttigieg, Pete",20009,EBY VENTURES,PHILANTHROPIST,250.0,other,201903,2019
692,"Buttigieg, Pete",20016,NATIONAL BUILDING MUSEUM,ARTS ADMINISTRATOR,50.0,other,201903,2019
694,"Buttigieg, Pete",20003,LEARNING TAPESTRY,COO,250.0,other,201903,2019
695,"Buttigieg, Pete",20003,LEARNING TAPESTRY,COO,10.0,other,201903,2019
696,"Buttigieg, Pete",20003,LEARNING TAPESTRY,COO,50.0,other,201903,2019
697,"Buttigieg, Pete",20003,NOT EMPLOYED,NOT EMPLOYED,1000.0,not employed or unknown,201903,2019
698,"Buttigieg, Pete",20008,LIFT,NON-PROFIT EXECUTIVE,250.0,leadership,201903,2019
701,"Buttigieg, Pete",20005,BIOTECHNOLOGY INNOVATION ORGANIZATION,EXECUTIVE VICE PRESIDENT,500.0,leadership,201903,2019
702,"Buttigieg, Pete",20003,THE ATLANTIC PHILANTHROPIES,FOUNDATION EXECUTIVE,500.0,leadership,201903,2019
703,"Buttigieg, Pete",20003,THE ATLANTIC PHILANTHROPIES,FOUNDATION EXECUTIVE,500.0,leadership,201903,2019
704,"Buttigieg, Pete",20008,LOCUST STREET GROUP,CONSULTANT,1000.0,business/gov,201903,2019
705,"Buttigieg, Pete",20015,OSF,POLICY ADVISOR,250.0,business/gov,201903,2019
706,"Buttigieg, Pete",20004,U.S. DEPARTMENT OF JUSTICE ANTITRUST D,ATTORNEY,200.0,law,201903,2019
707,"Buttigieg, Pete",20008,PRECISION,CONSULTANT,500.0,business/gov,201903,2019
708,"Buttigieg, Pete",20010,FTLF ET AL,ATTORNEY,500.0,law,201903,2019
709,"Buttigieg, Pete",20010,FTLF ET AL,ATTORNEY,250.0,law,201903,2019
710,"Buttigieg, Pete",20009,PILLSBURY WINTHROP SHAW PITTMAN LLP,ATTORNEY,1000.0,law,201903,2019
711,"Buttigieg, Pete",20011,STONETURN,CPA,250.0,other,201901,2019
712,"Buttigieg, Pete",20011,STONETURN,CPA,500.0,other,201902,2019
713,"Buttigieg, Pete",20037,NUCLEAR THREAT INITIATIVE,SENIOR DIRECTOR,100.0,leadership,201903,2019
714,"Buttigieg, Pete",20037,NUCLEAR THREAT INITIATIVE,SENIOR DIRECTOR,50.0,leadership,201903,2019
715,"Buttigieg, Pete",20009,NOT EMPLOYED,NOT EMPLOYED,250.0,not employed or unknown,201903,2019
716,"Buttigieg, Pete",20009,NOT EMPLOYED,NOT EMPLOYED,500.0,not employed or unknown,201903,2019
717,"Buttigieg, Pete",20005,THE ASPEN INSTITUTE,MANAGING DIRECTOR,500.0,leadership,201903,2019
718,"Buttigieg, Pete",20024,CROWELL & MORING LLP,LAWYER,500.0,law,201903,2019
719,"Buttigieg, Pete",20009,US EPA,ANALYST,500.0,business/gov,201902,2019
720,"Buttigieg, Pete",20009,US EPA,ANALYST,75.0,business/gov,201903,2019
721,"Buttigieg, Pete",20009,US EPA,ANALYST,3.0,business/gov,201903,2019
722,"Buttigieg, Pete",20009,US EPA,ANALYST,500.0,business/gov,201903,2019
723,"Buttigieg, Pete",20009,US EPA,ANALYST,1500.0,business/gov,201903,2019
724,"Buttigieg, Pete",20003,PILLSBURY,ATTORNEY,1500.0,law,201903,2019
725,"Buttigieg, Pete",20003,PILLSBURY,ATTORNEY,500.0,law,201903,2019
726,"Buttigieg, Pete",20002,EDISON ELECTRIC INSTITUTE,ASSOCIATION EXEC,250.0,other,201903,2019
727,"Sanders, Bernard",20008,GINNIE MAE,SR POLICY ADVISOR,27.0,business/gov,201903,2019
728,"Buttigieg, Pete",20009,STRATFORD UNIVERSITY,CHEF INSTRUCTOR,200.0,education,201903,2019
729,"Buttigieg, Pete",20009,K&L GATES,LAWYER,32.57,law,201903,2019
730,"Buttigieg, Pete",20005,USDOJ,ATTORNEY,250.0,law,201903,2019
731,"Buttigieg, Pete",20005,USDOJ,ATTORNEY,31.07,law,201903,2019
732,"Buttigieg, Pete",20005,USDOJ,ATTORNEY,250.0,law,201903,2019
734,"Buttigieg, Pete",20015,PCG,PUBLIC RELATIONS,500.0,business/gov,201903,2019
735,"Buttigieg, Pete",20009,GEORGETOWN UNIVERSITY,PROFESSOR,250.0,education,201903,2019
736,"Buttigieg, Pete",20003,ARNOLD & PORTER LLP,LAWYER,500.0,law,201901,2019
737,"Buttigieg, Pete",20008,NOT EMPLOYED,NOT EMPLOYED,100.0,not employed or unknown,201903,2019
738,"Buttigieg, Pete",20008,NOT EMPLOYED,NOT EMPLOYED,250.0,not employed or unknown,201903,2019
739,"Buttigieg, Pete",20001,DHS,INTEL ANALYST,25.0,business/gov,201903,2019
740,"Buttigieg, Pete",20001,SUBJECT MATTER,CONSULTANT,250.0,business/gov,201903,2019
741,"Buttigieg, Pete",20001,SUBJECT MATTER,CONSULTANT,2550.0,business/gov,201903,2019
742,"Buttigieg, Pete",20005,FRAGOMEN,LAWYER,2800.0,law,201903,2019
743,"Buttigieg, Pete",20008,FORMATION ENVIRONMENTAL,ENVIRONMENTAL CONSULTANT,200.0,business/gov,201903,2019
744,"Buttigieg, Pete",20009,INTEGRAL,CEO,100.0,leadership,201903,2019
745,"Sanders, Bernard",20007,ZUCKERMAN SPAEDER LLP,IT,3.0,it,201903,2019
748,"Buttigieg, Pete",20036,EFO CAPITAL MGMT. INC.,INVESTMENT MANAGER,250.0,business/gov,201902,2019
749,"Buttigieg, Pete",20002,ENVIRONMENTAL DEFENSE FUND,ATTORNEY,100.0,law,201903,2019
750,"Buttigieg, Pete",20009,U.S. STATE DEPARTMENT,FOREIGN SERVICE OFFICER,250.0,law,201903,2019
751,"Buttigieg, Pete",20037,UMD,ARTS MANAGEMENT CONSULTANT,2800.0,leadership,201902,2019
752,"Buttigieg, Pete",20016,SELF-EMPLOYED,CONSULTANT,250.0,business/gov,201903,2019
753,"Buttigieg, Pete",20001,US DEPT OF COMMERCE,DIVISION CHIEF,250.0,leadership,201903,2019
754,"Buttigieg, Pete",20005,NOT EMPLOYED,NOT EMPLOYED,1000.0,not employed or unknown,201903,2019
755,"Buttigieg, Pete",20005,PAUL WEISS RIFKIND WHARTON & GARRISON,LAWYER,250.0,law,201903,2019
756,"Buttigieg, Pete",20009,SALESFORCE,GOVERNMENT AFFAIRS,500.0,business/gov,201903,2019
757,"Buttigieg, Pete",20002,SIDLEY AUSTIN LLP,ADMINISTRATOR,250.0,other,201902,2019
758,"Buttigieg, Pete",20002,DC,EDUCATION,250.0,education,201903,2019
759,"Buttigieg, Pete",20037,NOT EMPLOYED,NOT EMPLOYED,250.0,not employed or unknown,201902,2019
760,"Buttigieg, Pete",20009,WELLS FARGO,MORTGAGE BANKER,250.0,other,201903,2019
761,"Buttigieg, Pete",20001,URBAN BROKERS LLC,REAL ESTATE BROKER,250.0,real estate/construction,201903,2019
762,"Buttigieg, Pete",20009,NOT EMPLOYED,NOT EMPLOYED,250.0,not employed or unknown,201903,2019
763,"Buttigieg, Pete",20008,TTR SOTHEBYS,REAL ESTATE BROKER,250.0,real estate/construction,201902,2019
764,"Buttigieg, Pete",20007,MIXPANEL.COM,SOFTWARE ENGINEER,500.0,it,201903,2019
765,"Buttigieg, Pete",20011,DILLON ALLMAN & PARTNERS,MEDICAL CONSULTANT,100.0,business/gov,201903,2019
766,"Buttigieg, Pete",20016,NOT EMPLOYED,NOT EMPLOYED,2800.0,not employed or unknown,201903,2019
767,"Buttigieg, Pete",20016,REACH THE WORLD,EXECUTIVE,400.0,leadership,201903,2019
768,"Buttigieg, Pete",20036,RETIRED,RETIRED,500.0,retired,201903,2019
769,"Buttigieg, Pete",20016,SELF-EMPLOYED,WRITER,2700.0,artist/comm,201903,2019
770,"Buttigieg, Pete",20003,SELF-EMPLOYED,CONSULTANT,250.0,business/gov,201902,2019
771,"Buttigieg, Pete",20003,SELF-EMPLOYED,CONSULTANT,250.0,business/gov,201903,2019
776,"Buttigieg, Pete",20002,RETIRED,RETIRED,250.0,retired,201903,2019
777,"Buttigieg, Pete",20002,RETIRED,RETIRED,60.34,retired,201903,2019
778,"Buttigieg, Pete",20001,SELF-EMPLOYED,CONSULTANT,100.0,business/gov,201903,2019
779,"Buttigieg, Pete",20008,TTR SOTHEBYS,REAL ESTATE BROKER,250.0,real estate/construction,201903,2019
780,"Buttigieg, Pete",20007,THE BOSTON CONSULTING GROUP,MANAGEMENT CONSULTANT,250.0,leadership,201903,2019
781,"Buttigieg, Pete",20007,HAILEY CONSULTING,CONSULTANT,250.0,business/gov,201903,2019
782,"Buttigieg, Pete",20008,NOT EMPLOYED,NOT EMPLOYED,500.0,not employed or unknown,201903,2019
783,"Buttigieg, Pete",20001,SELF-EMPLOYED,ORTHODONTIST,250.0,other,201903,2019
784,"Buttigieg, Pete",20011,FHFA,SUPERVISION ADVISOR,100.0,other,201903,2019
785,"Buttigieg, Pete",20009,SELF-EMPLOYED,DIGITAL STRATEGIST,250.0,other,201903,2019
786,"Buttigieg, Pete",20008,NOT EMPLOYED,NOT EMPLOYED,250.0,not employed or unknown,201902,2019
787,"Buttigieg, Pete",20007,LEARNZILLION,STRATEGIST,100.0,other,201903,2019
788,"Buttigieg, Pete",20009,GOOGLE FIBER,PUBLIC POLICY,500.0,business/gov,201903,2019
